date,maleTofemaleRatio,countryCode
2020-12-01,0,BLZ
2020-11-01,0,BLZ
2020-10-01,0,BLZ
2020-09-01,0,BLZ
2020-08-14,0,BLZ
2020-07-01,0.5,BLZ
2020-06-01,0,BLZ
2020-05-01,0,BLZ
2020-04-01,0,BLZ
2020-03-01,0,BLZ
2020-02-01,0,BLZ
2020-01-01,0,BLZ
2020-12-01,0,MNE
2020-11-01,0,MNE
2020-10-01,0,MNE
2020-09-01,0,MNE
2020-08-14,0,MNE
2020-07-01,3.5,MNE
2020-06-01,0,MNE
2020-05-01,0,MNE
2020-04-01,0,MNE
2020-03-01,0.67,MNE
2020-02-01,0,MNE
2020-01-01,0,MNE
2020-12-01,0,SOM
2020-11-01,0,SOM
2020-10-01,0,SOM
2020-09-01,0,SOM
2020-08-14,0,SOM
2020-07-01,0,SOM
2020-06-01,0,SOM
2020-05-01,0,SOM
2020-04-01,0.5,SOM
2020-03-01,0,SOM
2020-02-01,0,SOM
2020-01-01,0,SOM
2020-12-01,0,NLD
2020-11-01,0,NLD
2020-10-01,0,NLD
2020-09-01,0,NLD
2020-08-14,2.2,NLD
2020-07-01,0.78,NLD
2020-06-01,1.29,NLD
2020-05-01,1,NLD
2020-04-01,1,NLD
2020-03-01,1,NLD
2020-02-01,1,NLD
2020-01-01,0,NLD
2020-12-01,0,UKR
2020-11-01,0,UKR
2020-10-01,0,UKR
2020-09-01,0,UKR
2020-08-14,1,UKR
2020-07-01,4,UKR
2020-06-01,0.27,UKR
2020-05-01,1,UKR
2020-04-01,1,UKR
2020-03-01,0,UKR
2020-02-01,0,UKR
2020-01-01,0,UKR
2020-12-01,0,VEN
2020-11-01,0,VEN
2020-10-01,0,VEN
2020-09-01,1,VEN
2020-08-14,0.5,VEN
2020-07-01,0.33,VEN
2020-06-01,0.8,VEN
2020-05-01,0,VEN
2020-04-01,0,VEN
2020-03-01,0.67,VEN
2020-02-01,0,VEN
2020-01-01,0,VEN
2020-12-01,0,ZAF
2020-11-01,0,ZAF
2020-10-01,0,ZAF
2020-09-01,0,ZAF
2020-08-14,0,ZAF
2020-07-01,0,ZAF
2020-06-01,0,ZAF
2020-05-01,0.5,ZAF
2020-04-01,0,ZAF
2020-03-01,0,ZAF
2020-02-01,0,ZAF
2020-01-01,0,ZAF
2020-12-01,0,USA
2020-11-01,0,USA
2020-10-01,5,USA
2020-09-01,0.83,USA
2020-08-14,1.8,USA
2020-07-01,0.92,USA
2020-06-01,1,USA
2020-05-01,1,USA
2020-04-01,0.86,USA
2020-03-01,2,USA
2020-02-01,0.33,USA
2020-01-01,1,USA
2020-12-01,0,GIN
2020-11-01,0,GIN
2020-10-01,0,GIN
2020-09-01,0,GIN
2020-08-14,0,GIN
2020-07-01,0,GIN
2020-06-01,0,GIN
2020-05-01,1,GIN
2020-04-01,0,GIN
2020-03-01,0.5,GIN
2020-02-01,0,GIN
2020-01-01,0,GIN
2020-12-01,0,LKA
2020-11-01,0,LKA
2020-10-01,0,LKA
2020-09-01,0,LKA
2020-08-14,0,LKA
2020-07-01,0,LKA
2020-06-01,0.5,LKA
2020-05-01,0,LKA
2020-04-01,0,LKA
2020-03-01,0,LKA
2020-02-01,0,LKA
2020-01-01,0,LKA
2020-12-01,0,FIN
2020-11-01,0,FIN
2020-10-01,0,FIN
2020-09-01,0,FIN
2020-08-14,0,FIN
2020-07-01,0,FIN
2020-06-01,0,FIN
2020-05-01,1,FIN
2020-04-01,1,FIN
2020-03-01,0.5,FIN
2020-02-01,1,FIN
2020-01-01,1,FIN
2020-12-01,0,LBN
2020-11-01,0,LBN
2020-10-01,0,LBN
2020-09-01,1,LBN
2020-08-14,0,LBN
2020-07-01,0,LBN
2020-06-01,0,LBN
2020-05-01,0.5,LBN
2020-04-01,0,LBN
2020-03-01,0,LBN
2020-02-01,0,LBN
2020-01-01,0,LBN
2020-12-01,0,GRC
2020-11-01,0,GRC
2020-10-01,0,GRC
2020-09-01,0,GRC
2020-08-14,0,GRC
2020-07-01,0,GRC
2020-06-01,0,GRC
2020-05-01,1,GRC
2020-04-01,0.5,GRC
2020-03-01,0.5,GRC
2020-02-01,0.5,GRC
2020-01-01,0,GRC
2020-12-01,0,JPN
2020-11-01,0,JPN
2020-10-01,0,JPN
2020-09-01,0,JPN
2020-08-14,0,JPN
2020-07-01,0.67,JPN
2020-06-01,2,JPN
2020-05-01,0.5,JPN
2020-04-01,1,JPN
2020-03-01,0.5,JPN
2020-02-01,0,JPN
2020-01-01,0,JPN
2020-12-01,0,KEN
2020-11-01,0,KEN
2020-10-01,0,KEN
2020-09-01,0,KEN
2020-08-14,1,KEN
2020-07-01,1,KEN
2020-06-01,1.2,KEN
2020-05-01,0.67,KEN
2020-04-01,1.5,KEN
2020-03-01,0.5,KEN
2020-02-01,0.5,KEN
2020-01-01,0,KEN
2020-12-01,0,BGD
2020-11-01,0,BGD
2020-10-01,0,BGD
2020-09-01,0,BGD
2020-08-14,0,BGD
2020-07-01,1,BGD
2020-06-01,0.8,BGD
2020-05-01,0,BGD
2020-04-01,0.5,BGD
2020-03-01,1,BGD
2020-02-01,0.5,BGD
2020-01-01,0,BGD
2020-12-01,0,SLE
2020-11-01,0,SLE
2020-10-01,0,SLE
2020-09-01,0,SLE
2020-08-14,0,SLE
2020-07-01,0,SLE
2020-06-01,0,SLE
2020-05-01,0,SLE
2020-04-01,0,SLE
2020-03-01,0.5,SLE
2020-02-01,0,SLE
2020-01-01,0,SLE
2020-12-01,0,IDN
2020-11-01,0,IDN
2020-10-01,0,IDN
2020-09-01,0,IDN
2020-08-14,0,IDN
2020-07-01,1,IDN
2020-06-01,0,IDN
2020-05-01,0,IDN
2020-04-01,0,IDN
2020-03-01,0,IDN
2020-02-01,0,IDN
2020-01-01,0,IDN
2020-12-01,0,TUR
2020-11-01,0,TUR
2020-10-01,0,TUR
2020-09-01,0,TUR
2020-08-14,0,TUR
2020-07-01,0,TUR
2020-06-01,0.67,TUR
2020-05-01,0.67,TUR
2020-04-01,1,TUR
2020-03-01,1,TUR
2020-02-01,0,TUR
2020-01-01,0,TUR
2020-12-01,0,MLT
2020-11-01,0,MLT
2020-10-01,0,MLT
2020-09-01,2,MLT
2020-08-14,0.33,MLT
2020-07-01,0,MLT
2020-06-01,0,MLT
2020-05-01,0,MLT
2020-04-01,0,MLT
2020-03-01,0,MLT
2020-02-01,0,MLT
2020-01-01,0,MLT
2020-12-01,0,URY
2020-11-01,0,URY
2020-10-01,0,URY
2020-09-01,0,URY
2020-08-14,0.67,URY
2020-07-01,0.33,URY
2020-06-01,0.67,URY
2020-05-01,1,URY
2020-04-01,0,URY
2020-03-01,0,URY
2020-02-01,0,URY
2020-01-01,0,URY
2020-12-01,0,HUN
2020-11-01,0,HUN
2020-10-01,0,HUN
2020-09-01,0,HUN
2020-08-14,0,HUN
2020-07-01,0.5,HUN
2020-06-01,1,HUN
2020-05-01,1,HUN
2020-04-01,0.5,HUN
2020-03-01,1,HUN
2020-02-01,0,HUN
2020-01-01,0,HUN
2020-12-01,0,BIH
2020-11-01,0,BIH
2020-10-01,0,BIH
2020-09-01,0,BIH
2020-08-14,0,BIH
2020-07-01,0,BIH
2020-06-01,0,BIH
2020-05-01,1,BIH
2020-04-01,0.67,BIH
2020-03-01,1,BIH
2020-02-01,0,BIH
2020-01-01,0,BIH
2020-12-01,0,ISL
2020-11-01,0,ISL
2020-10-01,0,ISL
2020-09-01,0,ISL
2020-08-14,0,ISL
2020-07-01,0,ISL
2020-06-01,0,ISL
2020-05-01,0,ISL
2020-04-01,0,ISL
2020-03-01,1,ISL
2020-02-01,0.5,ISL
2020-01-01,0,ISL
2020-12-01,0,MYS
2020-11-01,0,MYS
2020-10-01,0,MYS
2020-09-01,0,MYS
2020-08-14,0.5,MYS
2020-07-01,0,MYS
2020-06-01,0,MYS
2020-05-01,0,MYS
2020-04-01,0,MYS
2020-03-01,0,MYS
2020-02-01,0,MYS
2020-01-01,0,MYS
2020-12-01,0,MWI
2020-11-01,0,MWI
2020-10-01,0,MWI
2020-09-01,0,MWI
2020-08-14,0,MWI
2020-07-01,0,MWI
2020-06-01,0,MWI
2020-05-01,0,MWI
2020-04-01,1,MWI
2020-03-01,1,MWI
2020-02-01,0,MWI
2020-01-01,0,MWI
2020-12-01,0,IND
2020-11-01,0,IND
2020-10-01,0,IND
2020-09-01,0.5,IND
2020-08-14,1.5,IND
